,shortcode,edge_media_preview_comment.count,edge_media_preview_like.count,edge_media_to_caption.edges
16,B8PyL-dneQh,4,194,"[{'node': {'text': '삼가 고인의 명복을 빕니다..💧\n.\n.\nReposted from @news1korea (@get_regrann) - 🔻(서울=뉴스1) 김정한 기자= 신종 코로나바이러스 감염증을 최초로 알린 중국 의사가 결국 사망했다고CNN이 6일(현지시간) 보도했다.\n\nCNN은 우한 중앙병원이 지난해 12월 사스급 질병의 가능성을 경고한 내부 고발자인 #리웬리앙 박사의 사망을 확인했다고 전했다.\n\n중앙병원은 성명을 통해 ""우리 병원의 안과 의사 #리원량 박사는 소생 시도가 실패한 직후 중국 시간으로 7일 오전 2시 58분에 사망했다""고 공식 발표했다.\n\n당초 CNN은 리 박사의 사망 소식을 알렸으나, 수시간 후 중앙병원은 이를 부인했다. 그러자 CNN은 중앙병원을 인용, 리 박사가 아직 사망하지 않고 위독한 상태라고 정정 보도했다.\n\n앞서 리 박사의 사망 소식을 전했던 중국 공산당 기관지인 환구시보와 인민일보 등 관영 매체들은 사망 보도를 삭제해 혼란을 키웠다.\n\n이에 많은 사람들이 희망을 가졌지만, 중앙병원 측의 공식 성명으로 결국 리 박사의 사망이 최종 확인됐다. \n앞서 그의 사망 소식이 전해진 직후 중국의 웨이보에는 깊은 슬픔과 분노를 나타내는 누리꾼들의 글이 쇄도했다.\n\n리 박사는 지난해 12월30일 자신의 의대 동문 모임 채팅방에서 ""국내 해산물 시장에서 온 환자 7명이 사스형 질환을 진단받아 우리 병원에 격리됐다""고 글을 올렸다.\n\nCNN에 따르면 리 박사는 이 글을 올린 직후 우한시 공안당국으로부터 괴소문을 퍼뜨린 혐의로 기소됐지만 누리꾼들로부터 \'영웅\'이라는 찬사를 받았다.\n.\n.\n#신종코로나 #신종코로나바이러스 #우한폐렴 #coronavirus #리웬리앙박사 #중국 #LiWenliang\n.\n.\n📩e메일 기사제보 jebo@news1.kr\n.\n📲News1 눈TV 유튜브 구독👆\n.\n프로필 링크 클릭하시면 연결됩니다➡️ 📹www.youtube.com/news1korea .\n.\n.\n#해외영상 #최신영상 #맛스타그램 #일상 #데일리그램 #먹스타그램 #연예인 #인터뷰 #이슈 #데일리그램 #스포츠 #개스타그램 #패션 #ootd #뷰티스타그램  #소통 #자동차 #여행 #육아스타그램'}}]"
17,B8Ql1qtg0Cd,0,7,[{'node': {'text': 'Farewell Dr. Li. \n#liwenliang \n#李文亮'}}]
18,B8QjwlyALug,1,2,"[{'node': {'text': ""Stand up, all victims of oppression\nFor the tyrants fear your might\nDon't cling so hard to your possessions\nFor you have nothing, if you have no rights.\nFreedom is merely privilege extended\nUnless enjoyed by one and all \n#RIP #liwenliang #🕯""}}]"
19,B8QM4JWD_n8,26,885,"[{'node': {'text': '🎈Bir gün konuşmanız gerekirse, susmayın!!! #Repost @doktorlarsitesi ・・・\nHastalığı ilk farkedip meslektaşları ile paylaşan ve onları uyaran, yaygara koparma diye Çinli yetkililer tarafından uyarılan soruşturma açılan, bir çocuk babası ikinci çocuğunu bekleyen\xa0Dr. Li Wenliang kendisine de bulaşan #Coronavirus nedeniyle 34 yaşında hayatını kaybetti. 🙏\n\nSoruşturma açıp susturmak yerine daha erken önlem alınsa belki sonuçlar bu kadar ağır olmayacaktı! Dünya felaketlere uğramamak adına Bilim İnsanlarına kulak vermeyi öğrenmeli! Öğrenmezseniz sonuçları işte böyle olabildiğine ağır olur ondan sonra önünü alamazsınız! \n#LiWenliang'}}]"
20,B8QoSjriPe8,0,67,"[{'node': {'text': 'Li #Wenliang, il medico cinese che per primo aveva lanciato l\'allarme sul #Coronavirus a #Wuhan è morto, vittima dello stesso contagio. L\'oftalmologo che già i primi di dicembre aveva condiviso su una chat la preoccupazione per un nuovo potenziale virus ""simile alla SARS"" era finito nel mirino della polizia che lo aveva accusato di provocare ingiustificato allarme. Il regime di #Pechino, che ora promette una indagine completa sulla sua morte, ha dovuto ammettere che quelle di Li non erano falsità: ad oggi sono oltre 600 i morti in #Cina, mentre il totale dei contagiati supera quota 31mila. (Foto: Ansa)\n\n#LiWenliang'}}]"
21,B8QnY8LnDXb,0,0,[{'node': {'text': '#liwenliang 🕯️06/02/2020'}}]
22,B8QjKpXDowZ,21,595,"[{'node': {'text': ""Le médecin chinois qui avait sonné l'alerte sur le coronavirus est décédé à l'âge de 34 ans à l'hôpital central de Wuhan. Ophtalmologue, Li Wenliang avait observé des patients présentant des symptômes similaires à ceux du Sras, ce syndrome respiratoire qui avait pris des proportions épidémiques en 2002-2003. Le 30 décembre, il avait adressé un message à des collègues en leur conseillant de se protéger avec masques et combinaisons et, un peu plus tard s'est, retrouvé montré du doigt par les autorités, accusé de propager des rumeurs avec sept autres personnes. Il avait été ensuite contaminé en soignant des malades. Il est salué par la population chinoise comme un héros national face à des responsables locaux accusés d'avoir caché les débuts de l'épidémie. Le décès du jeune médecin illustre la situation chaotique des hôpitaux de Wuhan, débordés par l'afflux de malades.\n📸EPN/Newscom/Sipa\n#coronavirus #LiWenliang #Wuhan #China #Chine #viruschinois""}}]"
23,B8QerdGgA_H,0,250,"[{'node': {'text': '👉Fb/Instagramers of Bhavnagar\n👉Follow :- Instagram/@ibhavngar\n👉 ચીનના વુહાનની હોસ્પિટલમાં કામ કરતા ઓપ્થેલ્મોલોજિસ્ટ લી વેનલિઆંગના નોવેલ-કોરોનાવાઈરસથી જ મૃત્યુની ચીને સત્તાવાર રીતે પુષ્ટિ કરી છે. 34 વર્ષીય આ ડોક્ટરે છેક 30 ડિસેમ્બરે પોતાના સાથી તબીબોને આ નવા પ્રકારના ગંભીર વાઈરસ અંગે એક ચેટ ગ્રૂપમાં ચેતવણી આપી હતી, પરંતુ તેની વાતને ગંભીરતાથી લેવાને બદલે ચીની પોલીસે તેને ખોટી અફવા ફેલાવવા બદલ અને સામાજિક વ્યવસ્થાને ડહોળવા બદલ શો કોઝ નોટિસ પાઠવી હતી. ચાઈનીઝ સોશિયલ નેટવર્કિંગ વેબસાઈટ ‘વેઈબો’ પર આ ડોક્ટરે લખેલું કે 10 જાન્યુઆરીથી તેને ઉધરસ શરૂ થઈ હતી અને બીજા દિવસે તેને તાવ આવવો શરૂ થયો હતો. તેના બે દિવસ પછી તેને હોસ્પિટલમાં દાખલ કરાયો હતો. 30 જાન્યુઆરીએ તેને કોરોનાવાઈરસનો ચેપ લાગ્યો છે તેની પુષ્ટિ થઈ હતી. ચીને આ ડોક્ટરની વાતને અવગણીને દબાવી દેવાને બદલે શરૂઆતથી જ ગંભીરતાથી લીધી હોત તો આ ગંભીર વાઈરસને આ હદે ફેલાતો અટકાવી શકાયો હોત. હવે સમગ્ર દુનિયામાંથી આ વ્હીસલબ્લોઅર ડોક્ટર માટે શ્રદ્ધાંજલિઓનો ધોધ વછૂટી રહ્યો છે. Turn On The Notification\n.\n🔥 🔥 .\nStay tuned for the latest happenings of your own City  Bhavnagar\n...\n👉Tags Your Friend  #coronavirus #wuhan #china #liwenliang\n#liwenliang💔 #wenliangli\n#saveworld #saveuas  #virus #surgicalmask #mask #demand #china #gujarat #india #heritageplacebhavnagar #bhavnagarstate #yuvrrajsahebbhavngar #nilambagpalace #bhavnagarcity\n#bhavngarpeople  #peace #respect  #india #incredibleindia #insta_advertising #insta_advertising_bhavnagar #10kibhavngar #10klovebhavnagar #ibhavngar'}}]"
24,B8QmTt3pPY-,0,1,"[{'node': {'text': 'Coronavirus whistleblower doctor died due to same virus:\n\nHe was the doctor who was giving warning regarding outbreak of the deadly coronavirus. Though it is highly contagious, the death rate due to this seems quite low which is assumed to be 2% reports. On Friday, the doctor, Li Wenliang died after contracting the very illness he had told medical school classmates about in an online chat room. Even before death Dr. Li had become hero to many Chinese.\n#coronavirus #healthcare #disease #china #liwenliang'}}]"
25,B8QjYMPl8w2,0,2,"[{'node': {'text': '.\n2020.02.07 Beijing, China\nLi Wenliang, the Wuhan doctor who was dead due to Wuhan Coronavirus, was treated as ""Whistleblower"" by China government after he disclosed the 7 suspected cases in Wuhan.\n\nIn Beijing, some people used the snow to write down ""Farewell to Li Wenliang"".\n(Source: Weibo, theStandNews)\n#liwenliang\n#beijing \n#china\n#standwithMedics \n#standwithHAEA \n#hongkong \n#hk\n#health\n#public\n#disease\n#rip\n#medics\n#death\n#doctor\n#nurse\n#WARS\n#wuhan\n#coronavirus\n#nCoV\n#snow\n#news\n#society'}}]"
26,B8QkF3sFT9A,11,2757,"[{'node': {'text': 'Corona Virüsünü ilk tespit eden ve virüsü gizli mesajla ilk kez duyuran 34 yaşındaki Dr. Li Wenliang\'ın bugün korona virüs nedeniyle hayatını kaybettiği haberleri tüm dünyada paylaşıldı. Dünya Sağlık Örgütü bile başsağlığı diledi.\n.\nSaatler önce Dr. Li\'nin kaldığı hastane iddiaları yalanladı. \'Yaşam savaşı veriyor, hayatını kaybetti"" denildi.\n.\nFakat hastanenin yaptığı açıklamada Dr. Li\'nin hayatını an itibariyle kaybettiği bildirildi.\n.\nDr. Li virüsü ilk tespit ettiğinde meslektaşlarına mesaj atarak Wuhan\'da bir deniz ürünleri marketinde çalışan 7 kişinin SARS benzeri yeni tip bir virüse yakalandığını ve karantina altına alındıklarını bildirmişti.\n.\nVirüsü gizli mesajla duyurduğu için hakkında Çin hükümeti tarafından soruşturma açılmıştı.\n.\nTabiri yerindeyse ""ortalığı ayağa kaldırma, yaygara çıkarma"" baskısıyla susturulmaya çalışılmıştı.\n.\nHuzur içinde uyusun...\n.\n#coronavirüs #LiWenliang\n•\nV / @toplumsal.gundem'}}]"
27,B8QlVymp68z,0,3,"[{'node': {'text': ""li Wenliang, He was just an ordinary person. Remember, it's February 6th, not February 7th as officially stated.#liwenliang""}}]"
28,B8Qk7VpFyk0,0,0,[{'node': {'text': 'my small tribute to a man who probably never considered being brave but being honest #coronavirus #liwenliang #tribute #wuhan #wuhanvirus #wuhanchina #wuhancoronavirus'}}]
29,B8QjZECnRRn,0,2,"[{'node': {'text': 'Doctor #LiWenliang warned of a #SARS-like epidemic in December, but was forced to retract his statements. Criticism of local officials and a lack of freedom of speech is trending on Chinese social media.\n\n#Weibo #coronavirus #China #FreedomOfSpeech\n\nImage Source: @Cangbo2 (Twitter)'}}]"
30,B8Qm6XJlvA_,0,4,[{'node': {'text': '悼念李文亮医生。In memory of Dr. Wenliang Li. #liwenliang #李文亮'}}]
31,B8QjZ-6Fyui,0,10,"[{'node': {'text': 'Li Wenliang (Chinese: 李文亮 pinyin: Lǐ Wénliàng 12 October 1986 – 7 February 2020) was a Chinese ophthalmologist at Wuhan Central Hospital [zh], considered one of the first people to issue a warning about the 2019–20 Wuhan coronavirus outbreak, on 30 December 2019. On 3 January 2020, Wuhan police summoned him and admonished him for ""making false comments on the Internet.""[1][3] Li returned to work but later contracted the virus from an infected patient. He died from the infection on 7 February 2020. #LiWenliang #34 #hero  #coronavirus #china #change'}}]"
32,B8P23ncJkMw,11,159,"[{'node': {'text': 'MUERE EL DOCTOR QUE ALERTÓ SOBRE #CORONAVIRUS.\n.\nLi Wenliang, el destacado médico chino de 34 años y responsable de alertar sobre lo que después se conoció como la nueva cepa de #coronavirus, murió a causa de la enfermedad, confirmaron funcionarios de la Organización Mundial de la Salud.\n.\nLi Wenliang publicó en las redes sociales una foto suya desde su cama en el hospital el 31 de enero, fecha en que aún se tenía desconocimiento del virus. Al día siguiente fue diagnosticado con coronavirus.\nCuatro días más tarde, éste recibió una visita de funcionarios de la Oficina de Seguridad Pública, quienes le dijeron que firmase una carta donde lo acusaban de ""hacer comentarios falsos"" que habían ""perturbado severamente el orden social"".\n.\n#liwenliang #muerte #enfermedad #epidemia #china'}}]"
0,B8QQSR-J6Wa,0,1,[{'node': {'text': 'No more silence. \n#coronavirus \n#liwenliang'}}]
1,B8QOpJOBF46,0,20,[{'node': {'text': '🕯️🕯️🕯️\n天堂没有谎言。\n\n#李文亮 #liwenliang'}}]
2,B8P-0AkDnUk,3,296,"[{'node': {'text': 'Li Wenliang, el médico chino que fue acusado por alertar sobre el riesgo que representaba la nueva cepa del coronavirus, murió víctima de esta enfermedad. Su muerte causó confusión e incluso la crítica del Tribunal Supremo de China a la policía de Wuhan por la represión contra el grupo de médicos que trataron de alertar a la población. \n#china #liwenliang #coronavirus #represion'}}]"
3,B8Po7sxIcbH,0,33,[{'node': {'text': '#liwenliang #不能不明白'}}]
4,B8PEWSjnnhB,1,4,"[{'node': {'text': 'ÚLTIMAHORA | El hospital central de #Wuhan ha desmentido la información sobre la\xa0supuesta muerte\xa0por coronavirus del médico chino #LiWenliang, uno de los primeros denunciantes que intentaron advertir a otros doctores sobre un brote infeccioso y que posteriormente fue reprendido por organismos de seguridad locales. ""En la lucha contra la epidemia de neumonía de la nueva infección por coronavirus, el oftalmólogo de nuestro hospital, Li Wenliang, lamentablemente se infectó. Actualmente\xa0se encuentra en estado crítico\xa0y estamos haciendo todo lo posible para resucitarlo"",\xa0reportó\xa0el centro médico a través de su cuenta oficial de Weibo.\n\n#coronavirus \nMás en el link de la bio ⬆️⬆️'}}]"
5,B8QPvMXFsWO,0,7,"[{'node': {'text': 'The benevolence that Chinese people identify with is not the Western humanitarian notion of heroic qualities, but a sense of resilience that manages to survive in a repressive environment. Resilience, as in, infrequently engaging in direct revolt when faced with hardships, and having seemingly endless endurance in meekly submitting to adversity 🇨🇳 .\n\nWe have no stories like spider man or iron man, and nor do we believe in superheroes.\nWe just know, even under the imperfect system or governance, there are always ordinary people with extraordinary bravery, suppleness & justice who stand up and protect us in the front line 🕯️ .\n\nYes, Be the light! That is all we celebrate and embrace in our vision and action. I have been and will always be believing in our people.💡 #condolence #RIP #liwenliang #nationalgriefday #truthistruth'}}]"
6,B8QTuO1BIAl,0,10,[{'node': {'text': '#liwenliang #wuhan#不能不明白'}}]
7,B8PEI4OH-XB,0,19,[{'node': {'text': '#liwenliang'}}]
8,B8PSg0xJC2q,1,16,[{'node': {'text': '你能做到吗？\n你听明白了吗？\n\n#liwenliang #coronavirus'}}]
9,B8QU6TvH3Jd,0,3,"[{'node': {'text': ""It was never the fault of one person or a group of people from the beginning until now. At the same time, no one’s doing anything completely wrong ’cause veryone is doing their job to some extent. All I gotta say is what happened has happened. The world is always not that fair, but the real hope in this shit situation is still the ppl who are trying to make things better so no matter how south things go and how y'all feel angry about that shit look up stay sober n chill. My own personal life has been tough lately but I still believe THAT DON'T KILL ME CAN ONLY MAKE U STRONGRT#李文亮 #views #吹哨人 #医生 #中国 #冠状病毒 #新型冠状病毒 #肺炎 #caronavirus #mood #vibe #liwenliang #李文亮医生去世 #china #rip #staystrong""}}]"
10,B8Qb_hWA6Dx,0,1,[{'node': {'text': 'RIP💔 #liwenliang #coronavirus #2019ncov'}}]
11,B8PP0PGH3Px,9,157,"[{'node': {'text': 'No te dejes diluir por el silencio de ayer. \nHoy ha sido un día doloroso para el pueblo Chino. El médico Li Wenliang, quien tuvo el coraje de anunciar la existencia de los primeros casos contagiados por el nuevo virus corona y alertar sobre su contagiosa característica mucho antes que los medios oficiales chinos falleció tras ser contagiado de esta misma enfermedad. A principio de su anuncio, fue investigado por el gobierno Chino por supuestamente difundir rumores falsos y culpado por el CCTV como difusor de rumores. Su muerte causó un impacto grande en la sociedad, debido a eso, tras de su muerte, los medios del gobierno empezaron a anunciar que sigue con vida y que solo se encuentra en el estado de emergencia, que el hospital está tratando lo posible para “salvarlo”. Li Wenliang no tuvo el derecho de expresar sobre la verdad tampoco tuvo el derecho de morir con dignidad — mientras así lo desea el gobierno. \n#griii #ricohgriii #silence #liwenliang #rip #heroes #coronavirus  #streetphotography #storytellingphotography #storyofthestreet #street_is_life #street_storytelling'}}]"
12,B8O816slOJK,0,3,[{'node': {'text': 'Whistleblowers will be remembered forever. #liwenliang'}}]
13,B8PKCSVFp1l,0,19,"[{'node': {'text': 'El hospital central de Wuhan ha desmentido la información sobre la\xa0supuesta muerte\xa0por coronavirus del médico chino\xa0Li Wenliang, uno de los primeros denunciantes que intentaron advertir a otros doctores sobre un brote infeccioso y que posteriormente fue reprendido por organismos de seguridad locales.\n.\n""En la lucha contra la epidemia de neumonía de la nueva infección por coronavirus, el oftalmólogo de nuestro hospital, Li Wenliang, lamentablemente se infectó. Actualmente\xa0se encuentra en estado crítico\xa0y estamos haciendo todo lo posible para resucitarlo"",\xa0reportó\xa0el centro médico a través de su cuenta oficial de Weibo.\n\nMás detalles en nuestra página web www.radar24.do\n#Radar24RD #Radar24h #RD #Noticias #News #Coronavirus #China #Salud #Virus #Enfermedad #Hubei #Wuhan #Hospital #LiWenliang'}}]"
14,B8QMsrig7Kh,0,3,[{'node': {'text': '#sayno #coronavirus #news #instanews #wuhan #liwenliang #whistleblowers'}}]
15,B8O2s5ulQtg,1,6,[{'node': {'text': '英雄走好#liwenliang'}}]
16,B8QKKWRhVcN,0,1,[{'node': {'text': 'RIP HERO Dr #liwenliang'}}]
17,B8Pk4W3h6sa,0,11,"[{'node': {'text': ""He's the hero we need right now, but the world doesn’t deserve him just yet. \n前几天我生日的时候许了一个愿，希望好人一定要有好报的来着，现在只剩愤怒 心累 耻辱。\n\n#RIP #liwenliang""}}]"
18,B8PHe_CHWI9,1,18,"[{'node': {'text': 'R.I.P. #liwenliang \nWho said tomorrow will be better, I don’t believe it now💔'}}]"
19,B8O5850ic-Z,4,25,"[{'node': {'text': ""C'è poco da stare allegri!! Morto il dottore che aveva per primo lanciato ľ allarme del #coronavirus. Sbeffeggiato e deriso, adesso ne scrivono come un eroe!!\n#virus#cèpocodastareallegri#dottore#cina#italia#allerta#emergenzamondiale#lacinaèvicina#stiamoincampana#liwenliang""}}]"
20,B8QN4lZpVTN,0,1,[{'node': {'text': '#liwenliang \nRemember the truth\n2020.02.06'}}]
21,B8PQaNnFrv3,0,193,[{'node': {'text': '#rip #LiWenliang\n#WuhanChina #coronavirus #outbreak'}}]
22,B8PihJFgE_j,1,6,[{'node': {'text': 'R.I.P. the brave whistleblower'}}]
23,B8PVLZ7Jzzi,1,1,[]
24,B8PWREZJpl6,0,4,[{'node': {'text': '#liwenliang #whistleblowers #coronavirus #wuhan'}}]
25,B8Pcsb0BQ45,0,2,[{'node': {'text': '不能，不明白。\n#liwenliang'}}]
26,B8PCboGFY51,2,16,[{'node': {'text': '为众人抱薪者，不可使其冻毙于风雪。\n为自由开路者，不可使其困顿于荆棘。\n\n我们终将被历史审判🕯️\n#李文亮 #liwenliang #wuhan #coronavirus'}}]
27,B8QDo3dHhjO,0,15,[{'node': {'text': '#不能不明白 #liwenliang'}}]
28,B8PNgqeIlJk,0,3,"[{'node': {'text': 'Coronavirus.  One of eight whistleblowers in critical condition  He was the first to report the appearance of the new coronavirus in Wuhan.  Dr Li Wenliang, himself infected, died on Thursday, February 6, the World Health Organization confirmed. #liwenliang #china🇨🇳 #rip #priest'}}]"
29,B8QC6ZPgtmT,6,266,"[{'node': {'text': 'A normal human being, and a real hero.\n#liwenliang \n21:33, Feb 6th,2020.\nWe remember.'}}]"
30,B8Qpd4EHn-0,0,10,"[{'node': {'text': '#LiWenliang, a medical doctor and one of the first eight people to warn the public about the novel coronavirus, has died late last night due to the infection.\n\nDr Li Wenliang, a 34-year-old #ophthalmologist in Wuhan, tried to warn his colleagues about seven patients who had come down with a SARS-like #virus on December 30.\n\nBut he was accused by the Chinese government for spreading ""#rumors"" and detained by Wuhan Police for two days.\n\nHis death quickly became the most-talked topic on #WeChat and #Weibo, China\'s two-biggest #socialmedia platforms.\n\nTopics like ""Wuhan government owes Dr. Li Wenliang an apology,"" and ""We want freedom of speech,"" soon began to trend before disappearing from the heavily censored platform. \n#TheRumorist | #IamTheRumorist\n#corona #coronavirus #china #chinese #wuhan #coronavirusoutbreak #chinafood #china🇨🇳 #wuhanchina #wuhancoronavirus #Pakistanmediaindustry #pakistanis #pakistani #pakistan #instapakistan #pak #breaking #viral #international #internationalnews #dailynews'}}]"
31,B8PwjXCA3_6,0,2,"[{'node': {'text': '\u202a⚠️Corona Virus ⚠️ Confirmed ⚠️\u202c\n\u202aChinese doctor #LiWenliang, one of the eight HERO ""whistleblowers"" who tried to warn other medics of the coronavirus outbreak but were reprimanded by local police, died from #coronavirus at 2:58 am Friday.\u202c'}}]"
32,B8QGr6IlyvN,0,3,"[{'node': {'text': ""2020.2.6 Pray for #liwenliang . Thank you for your courage and everything you've done for us. The true whistler!""}}]"
33,B8PIWldILjv,2,15,"[{'node': {'text': ""I can’t stop crying in the office. I just can not stand it anymore. I hope our anger can make the earth tremble, I hope people who do not want to be slaves can choose to stand up, we want the freedom we deserve, and I hope that the sun tomorrow will not rise as usual. I can't, I don't understand either.\n#liwenliang #hero""}}]"
34,B8PHy-snls4,0,1,[{'node': {'text': '#liwenliang'}}]
35,B8QPfeQJ_NR,0,4,[{'node': {'text': '2020.02.06\n\n#coronavirus \n#wuhan \n#liwenliang'}}]
36,B8QBBT_BWeN,0,90,"[{'node': {'text': 'Li Wenliang – one of the first doctors who tried to alert the public about the coronavirus outbreak, only to be reprimanded by local police – has died, Wuhan Central Hospital confirmed early Friday morning, hours after it initially denied reports of his death.\n\nOn December 30, Li warned his medical school classmates in an online chat group that a Sars-like illness had stricken several patients in a Wuhan hospital and that all of them were quarantined in the emergency department.\n\nThe same day that the doctor shared the message, local health authorities announced that the city had confirmed 27 cases of a new type of virus, most of them linked to a seafood market.\n\nHowever, Li, along with seven other people who shared information about the outbreak – including at least three doctors – was summoned to the local police and forced to sign a letter promising to make no further disclosures concerning the disease.\n\nIn early January, CCTV, a Communist Party mouthpiece, accused the eight people in Wuhan of spreading what the government called “rumours”. ====================\nSource: SCMP\n#RIP #WARS #hero #truth #rumours #death #liwenliang #doctor #savelives #outbreak #china #global #hongkong #hk #hkig #hkiger #852 #英雄 #造謠八君子'}}]"
